date,Show_name,Show_theatre,This_Week_Gross,Difference,Average_ticket,Top_ticket,Seats_Sold,Seats_in_theater,Perfs,Previews,%cap,diff_cap,date_type,show_type
2023-01-08,1776,American Airlines Theatre,"$361,426.00","$35,203.20",$69.42,$248.00,"5,206",723,8,0,90.01%,-6.47%,post,Musical
2023-01-08,"A Beautiful Noise, The Neil Diamond Musical",Broadhurst Theatre,"$1,071,060.67","-$354,820.96",$150.79,$347.50,"7,103","1,152",8,0,77.07%,-7.05%,post,Musical
2023-01-08,A Strange Loop,Lyceum Theatre,"$494,106.20","-$237,313.80",$112.53,$297.00,"4,391",912,5,0,96.29%,1.07%,post,Musical
2023-01-08,Aladdin,New Amsterdam Theatre,"$1,419,042.30","-$1,430,681.09",$103.63,$199.50,"13,694","1,727",8,0,99.12%,-0.80%,post,Musical
2023-01-08,Almost Famous,Bernard B. Jacobs Theatre,"$886,112.13","-$168,929.53",$118.73,$297.00,"7,463","1,023",8,0,91.19%,-5.57%,post,Musical
2023-01-08,Beetlejuice,Marquis Theatre,"$2,146,200.00","-$316,631.00",$165.81,$249.00,"12,944","1,602",8,0,101.00%,0.17%,post,Musical
2023-01-08,Between Riverside and Crazy,Helen Hayes Theater,"$139,918.75","-$120,166.25",$66.79,$197.00,"2,095",579,4,0,90.46%,-5.74%,post,Play
2023-01-08,Chicago,Ambassador Theatre,"$760,026.80","-$539,377.65",$93.24,$197.00,"8,151","1,080",8,0,94.34%,-6.94%,post,Musical
2023-01-08,Death of a Salesman,Hudson Theatre,"$716,612.50","$92,105.75",$101.94,$299.00,"7,030",975,8,0,90.13%,0.34%,post,Play
2023-01-08,Funny Girl,August Wilson Theatre,"$2,062,739.10","-$343,161.40",$215.65,$0.00,"9,565","1,219",8,0,98.08%,4.85%,post,Musical
2023-01-08,Hadestown,Walter Kerr Theatre,"$834,391.50","-$445,418.00",$112.73,$0.00,"7,402",918,8,0,100.79%,-0.41%,post,Musical
2023-01-08,Hamilton,Richard Rodgers Theatre,"$2,120,811.00","-$619,788.00",$198.62,$449.00,"10,678","1,324",8,0,100.81%,-0.84%,post,Musical
2023-01-08,Harry Potter and the Cursed Child,Lyric Theatre,"$1,649,752.50","-$1,021,438.50",$127.28,$399.00,"12,962","1,622",8,0,99.89%,-0.11%,post,Play
2023-01-08,Into the Woods,St. James Theatre,"$1,496,875.70","-$395,749.65",$131.18,$0.00,"11,411","1,681",8,0,84.85%,-9.43%,post,Musical
2023-01-08,Kimberly Akimbo,Booth Theatre,"$582,438.00","-$91,917.76",$99.51,$273.00,"5,853",773,8,0,94.65%,0.60%,post,Musical
2023-01-08,Leopoldstadt,Longacre Theatre,"$808,223.90","-$107,477.15",$137.22,$347.00,"5,890","1,075",8,0,68.49%,-13.46%,post,Play
2023-01-08,Mike Birbiglia: The Old Man & the Pool,Vivian Beaumont Theater,"$653,674.00","$34,205.00",$84.41,$347.00,"7,744","1,079",8,0,89.71%,0.30%,post,Play
2023-01-08,MJ The Musical,Neil Simon Theatre,"$1,741,104.00","-$481,965.00",$156.24,$250.00,"11,144","1,387",8,0,100.43%,0.05%,post,Musical
